id;date;A2_statut;A2_autre;A3_poste;A4_secteur;A4_secteur_autre;A5_teleravail;A6_experience;B1_utilisation_python;B1_utilisation_r;B1_utilisation_sas;B1_utilisation_powerBI;B1_utilisation_tableau;B1_utilisation_qlik;B1_utilisation_excel;B1_utilisation_sql;B1_utilisation_spark;B1_utilisation_spss;B1_utilisation_c_java;B1_utilisation_datastudio;B1_utilisation_matlab;B1_utilisation_aucun;B2_frequence_utilisation_python;B2_frequence_utilisation_r;B2_frequence_utilisation_sas;B2_frequence_utilisation_powerBI;B2_frequence_utilisation_tableau;B2_frequence_utilisation_qlik;B2_frequence_utilisation_excel;B2_frequence_utilisation_sql;B2_frequence_utilisation_spark;B2_frequence_utilisation_spss;B2_frequence_utilisation_c_java;B2_frequence_utilisation_datastudio;B2_frequence_utilisation_matlab;D1_satisfaction;Y1A_genre;Y1B_age;Y4_diplome;Y2_region
457;30/03/2024 13:50;En recherche d'emploi;;;;;;;Oui;Non;Non;Non;Non;Non;Oui;Oui;Oui;Non;Oui;Non;Oui;Non;Régulièrement;;;;;;Occasionnellement;Régulièrement;Occasionnellement;;Occasionnellement;;Jamais;;Un homme;37;Bac + 5;Hauts-de-France
458;30/03/2024 13:52;En CDI;;Data Scientist;Prestation de services informatiques / statistiques;;Hybride avec en moyenne trois ou quatre jours de télétravail / semaine;2;Oui;Oui;Non;Non;Non;Non;Oui;Oui;Oui;Non;Non;Non;Oui;Non;Régulièrement;Occasionnellement;;;;;Occasionnellement;Occasionnellement;Jamais;;;;Jamais;9;Un homme;24;Bac + 5;Occitanie
459;;En CDI;;Data Scientist;Banques / assurances / finances;;Hybride avec en moyenne un ou deux jours de télétravail / semaine;17;Oui;Non;Oui;Non;Non;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Régulièrement;;Régulièrement;;;;Régulièrement;Occasionnellement;;;;;;;;;;
460;30/03/2024 16:08;En CDI;;Data Scientist;Banques / assurances / finances;;Hybride avec en moyenne un ou deux jours de télétravail / semaine;18;Oui;Non;Oui;Non;Non;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Régulièrement;;Régulièrement;;;;Régulièrement;Occasionnellement;;;;;;8;Une femme;41;Bac + 5;Île-de-France
461;30/03/2024 21:54;En CDD / contrat court / alternance / stage;;Data Scientist;Autre;Environnement et santé publique;Présentiel complet (pas ou quasiment pas de travail à distance);0;Oui;Oui;Oui;Oui;Non;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Régulièrement;Occasionnellement;Jamais;Jamais;;;Régulièrement;Jamais;;Jamais;;;;7;Un homme;22;Bac + 2 / 3;Grand Est
462;;En recherche d'emploi;;;;;;;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;
463;;En CDI;;Data Analyst / analyste;Autre;Grande distribution;Hybride avec en moyenne un ou deux jours de télétravail / semaine;2;Oui;Oui;Non;Oui;Non;Oui;Oui;Oui;Non;Non;Non;Oui;Non;Non;Occasionnellement;Jamais;;Régulièrement;;Jamais;Régulièrement;Régulièrement;;;;Occasionnellement;;;;;;
464;30/03/2024 22:07;En CDI;;Data Analyst / analyste;Autre;Grande distribution ;Hybride avec en moyenne un ou deux jours de télétravail / semaine;2;Oui;Oui;Non;Oui;Non;Oui;Oui;Oui;Non;Non;Non;Oui;Non;Non;Occasionnellement;Jamais;;Régulièrement;;Jamais;Régulièrement;Régulièrement;;;;Occasionnellement;;6;Un homme;30;Bac + 5;Hauts-de-France
465;30/03/2024 22:14;En CDI;;Data Scientist;Autre;Telecom;Hybride avec en moyenne trois ou quatre jours de télétravail / semaine;8;Oui;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Régulièrement;;;;;;;Occasionnellement;;;;;;9;Un homme;32;Bac + 5;Île-de-France
466;;En CDI;;Autre;Autre;Distribution ;Présentiel complet (pas ou quasiment pas de travail à distance);3;Non;Non;Non;Oui;Non;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;;;;Régulièrement;;;Régulièrement;Occasionnellement;;;;;;;;;;
